code,name,rawName,canonicalName,methodText,unit,sourceType
IP-0001,凝结时间,凝结时间,凝结时间,见对应标准条款,,official
IP-0002,安定性,安定性,安定性,见对应标准条款,,official
IP-0003,胶砂强度,胶砂强度,胶砂强度,见对应标准条款,,official
IP-0004,氯离子含量,氯离子含量,氯离子含量,见对应标准条款,,official
IP-0005,保水率,保水率,保水率,见对应标准条款,,official
IP-0006,氧化镁含量,氧化镁含量,氧化镁含量,见对应标准条款,,official
IP-0007,碱含量,碱含量,碱含量,见对应标准条款,,official
IP-0008,三氧化硫含量,三氧化硫含量,三氧化硫含量,见对应标准条款,,official
IP-0009,可溶物含量,可溶物含量,可溶物含量,见对应标准条款,,official
IP-0010,拉力,拉力,拉力,见对应标准条款,,official
IP-0011,延伸率（或最大力时延伸率）,延伸率（或最大力时延伸率）,延伸率（或最大力时延伸率）,见对应标准条款,,official
IP-0012,低温柔度,低温柔度,低温柔度,见对应标准条款,,official
IP-0013,热老化后低温柔度,热老化后低温柔度,热老化后低温柔度,见对应标准条款,,official
IP-0014,不透水性,不透水性,不透水性,见对应标准条款,,official
IP-0015,耐热度,耐热度,耐热度,见对应标准条款,,official
IP-0016,断裂拉伸强度,断裂拉伸强度,断裂拉伸强度,见对应标准条款,,official
IP-0017,断裂伸长率,断裂伸长率,断裂伸长率,见对应标准条款,,official
IP-0018,撕裂强度,撕裂强度,撕裂强度,见对应标准条款,,official
IP-0019,接缝剥离强度,接缝剥离强度,接缝剥离强度,见对应标准条款,,official
IP-0020,搭接缝不透水性,搭接缝不透水性,搭接缝不透水性,见对应标准条款,,official
IP-0021,耐热性,耐热性,耐热性,见对应标准条款,,official
IP-0022,低温柔性,低温柔性,低温柔性,见对应标准条款,,official
IP-0023,拉伸粘结性,拉伸粘结性,拉伸粘结性,见对应标准条款,,official
IP-0024,施工度,施工度,施工度,见对应标准条款,,official
IP-0025,表干时间,表干时间,表干时间,见对应标准条款,,official
IP-0026,挤出性,挤出性,挤出性,见对应标准条款,,official
IP-0027,弹性恢复率,弹性恢复率,弹性恢复率,见对应标准条款,,official
IP-0028,浸水后定伸粘结性,浸水后定伸粘结性,浸水后定伸粘结性,见对应标准条款,,official
IP-0029,流动性,流动性,流动性,见对应标准条款,,official
IP-0030,单位面积质量,单位面积质量,单位面积质量,见对应标准条款,,official
IP-0031,膨润土膨胀指数,膨润土膨胀指数,膨润土膨胀指数,见对应标准条款,,official
IP-0032,渗透系数,渗透系数,渗透系数,见对应标准条款,,official
IP-0033,滤失量,滤失量,滤失量,见对应标准条款,,official
IP-0034,拉伸强度,拉伸强度,拉伸强度,见对应标准条款,,official
IP-0035,硬度,硬度,硬度,见对应标准条款,,official
IP-0036,7d 膨胀率,7d 膨胀率,7d 膨胀率,见对应标准条款,,official
IP-0037,最终膨胀率,最终膨胀率,最终膨胀率,见对应标准条款,,official
IP-0038,耐水性,耐水性,耐水性,见对应标准条款,,official
IP-0039,体积膨胀倍率,体积膨胀倍率,体积膨胀倍率,见对应标准条款,,official
IP-0040,压缩永久变形,压缩永久变形,压缩永久变形,见对应标准条款,,official
IP-0041,低温弯折,低温弯折,低温弯折,见对应标准条款,,official
IP-0042,剥离强度,剥离强度,剥离强度,见对应标准条款,,official
IP-0043,浸水168h 后的剥离强度保持率,浸水168h 后的剥离强度保持率,浸水168h 后的剥离强度保持率,见对应标准条款,,official
IP-0044,延伸率,延伸率,延伸率,见对应标准条款,,official
IP-0045,固体含量,固体含量,固体含量,见对应标准条款,,official
IP-0046,7d 粘结强度,7d 粘结强度,7d 粘结强度,见对应标准条款,,official
IP-0047,7d 抗渗性,7d 抗渗性,7d 抗渗性,见对应标准条款,,official
