standard_code,file_stem,pdf_path,docx_path,pdf_present,docx_present,verification_status,coverage_status
GBT_1346-2024,GBT_1346-2024,raw/standards/pdf/GBT_1346-2024.pdf,raw/standards/docx/GBT_1346-2024.docx,true,true,candidate,unmapped
GBT_13545-2014,GBT_13545-2014,raw/standards/pdf/GBT_13545-2014.pdf,raw/standards/docx/GBT_13545-2014.docx,true,true,candidate,unmapped
GBT_14684-2022,GBT_14684-2022,raw/standards/pdf/GBT_14684-2022.pdf,raw/standards/docx/GBT_14684-2022.docx,true,true,candidate,unmapped
GBT_14685-2022,GBT_14685-2022,raw/standards/pdf/GBT_14685-2022.pdf,raw/standards/docx/GBT_14685-2022.docx,true,true,candidate,unmapped
GBT_1499.2-2018,GBT_1499.2-2018,raw/standards/pdf/GBT_1499.2-2018.pdf,raw/standards/docx/GBT_1499.2-2018.docx,true,true,candidate,unmapped
GBT_15229-2011,GBT_15229-2011,raw/standards/pdf/GBT_15229-2011.pdf,raw/standards/docx/GBT_15229-2011.docx,true,true,candidate,unmapped
GBT_1596-2017,GBT_1596-2017,raw/standards/pdf/GBT_1596-2017.pdf,raw/standards/docx/GBT_1596-2017.docx,true,true,candidate,unmapped
GBT_16777-2008,GBT_16777-2008,raw/standards/pdf/GBT_16777-2008.pdf,raw/standards/docx/GBT_16777-2008.docx,true,true,candidate,unmapped
GBT_18046-2017,GBT_18046-2017,raw/standards/pdf/GBT_18046-2017.pdf,raw/standards/docx/GBT_18046-2017.docx,true,true,candidate,unmapped
GBT_19250-2013,GBT_19250-2013,raw/standards/pdf/GBT_19250-2013.pdf,raw/standards/docx/GBT_19250-2013.docx,true,true,candidate,unmapped
GBT_20065-2016,GBT_20065-2016,raw/standards/pdf/GBT_20065-2016.pdf,raw/standards/docx/GBT_20065-2016.docx,true,true,candidate,unmapped
GBT_208-2014,GBT_208-2014,raw/standards/pdf/GBT_208-2014.pdf,raw/standards/docx/GBT_208-2014.docx,true,true,candidate,unmapped
GBT_21144-2023,GBT_21144-2023,raw/standards/pdf/GBT_21144-2023.pdf,raw/standards/docx/GBT_21144-2023.docx,true,true,candidate,unmapped
GBT_228.1-2021,GBT_228.1-2021,raw/standards/pdf/GBT_228.1-2021.pdf,raw/standards/docx/GBT_228.1-2021.docx,true,true,candidate,unmapped
GBT_23445-2009,GBT_23445-2009,raw/standards/pdf/GBT_23445-2009.pdf,raw/standards/docx/GBT_23445-2009.docx,true,true,candidate,unmapped
GBT_23457-2017,GBT_23457-2017,raw/standards/pdf/GBT_23457-2017.pdf,raw/standards/docx/GBT_23457-2017.docx,true,true,candidate,unmapped
GBT_24492-2009,GBT_24492-2009,raw/standards/pdf/GBT_24492-2009.pdf,raw/standards/docx/GBT_24492-2009.docx,true,true,candidate,unmapped
GBT_25181-2019,GBT_25181-2019,raw/standards/pdf/GBT_25181-2019.pdf,raw/standards/docx/GBT_25181-2019.docx,true,true,candidate,unmapped
GBT_2542-2012,GBT_2542-2012,raw/standards/pdf/GBT_2542-2012.pdf,raw/standards/docx/GBT_2542-2012.docx,true,true,candidate,unmapped
GBT_26001-2010,GBT_26001-2010,raw/standards/pdf/GBT_26001-2010.pdf,raw/standards/docx/GBT_26001-2010.docx,true,true,candidate,unmapped
GBT_28900-2022,GBT_28900-2022,raw/standards/pdf/GBT_28900-2022.pdf,raw/standards/docx/GBT_28900-2022.docx,true,true,candidate,unmapped
GBT_4100-2015,GBT_4100-2015,raw/standards/pdf/GBT_4100-2015.pdf,raw/standards/docx/GBT_4100-2015.docx,true,true,candidate,unmapped
GBT_4111-2013,GBT_4111-2013,raw/standards/pdf/GBT_4111-2013.pdf,raw/standards/docx/GBT_4111-2013.docx,true,true,candidate,unmapped
GBT_50080-2016,GBT_50080-2016,raw/standards/pdf/GBT_50080-2016.pdf,raw/standards/docx/GBT_50080-2016.docx,true,true,candidate,unmapped
GBT_50081-2019,GBT_50081-2019,raw/standards/pdf/GBT_50081-2019.pdf,raw/standards/docx/GBT_50081-2019.docx,true,true,candidate,unmapped
GBT_50082-2024,GBT_50082-2024,raw/standards/pdf/GBT_50082-2024.pdf,raw/standards/docx/GBT_50082-2024.docx,true,true,candidate,unmapped
GBT_50123-2019,GBT_50123-2019,raw/standards/pdf/GBT_50123-2019.pdf,raw/standards/docx/GBT_50123-2019.docx,true,true,candidate,unmapped
GBT_529-2008,GBT_529-2008,raw/standards/pdf/GBT_529-2008.pdf,raw/standards/docx/GBT_529-2008.docx,true,true,candidate,unmapped
GBT_8074-2008,GBT_8074-2008,raw/standards/pdf/GBT_8074-2008.pdf,raw/standards/docx/GBT_8074-2008.docx,true,true,candidate,unmapped
GB_12952-2011,GB_12952-2011,raw/standards/pdf/GB_12952-2011.pdf,raw/standards/docx/GB_12952-2011.docx,true,true,candidate,unmapped
GB_13544-2011,GB_13544-2011,raw/standards/pdf/GB_13544-2011.pdf,raw/standards/docx/GB_13544-2011.docx,true,true,candidate,unmapped
GB_1499.1-2024,GB_1499.1-2024,raw/standards/pdf/GB_1499.1-2024.pdf,raw/standards/docx/GB_1499.1-2024.docx,true,true,candidate,unmapped
GB_1499.2-2024,GB_1499.2-2024,raw/standards/pdf/GB_1499.2-2024.pdf,raw/standards/docx/GB_1499.2-2024.docx,true,true,candidate,unmapped
GB_175-2023,GB_175-2023,raw/standards/pdf/GB_175-2023.pdf,raw/standards/docx/GB_175-2023.docx,true,true,candidate,unmapped
GB_18173.1-2012,GB_18173.1-2012,raw/standards/pdf/GB_18173.1-2012.pdf,raw/standards/docx/GB_18173.1-2012.docx,true,true,candidate,unmapped
GB_18173.2-2014,GB_18173.2-2014,raw/standards/pdf/GB_18173.2-2014.pdf,raw/standards/docx/GB_18173.2-2014.docx,true,true,candidate,unmapped
GB_18173.3-2014,GB_18173.3-2014,raw/standards/pdf/GB_18173.3-2014.pdf,raw/standards/docx/GB_18173.3-2014.docx,true,true,candidate,unmapped
GB_18173.4-2010,GB_18173.4-2010,raw/standards/pdf/GB_18173.4-2010.pdf,raw/standards/docx/GB_18173.4-2010.docx,true,true,candidate,unmapped
GB_18242-2008,GB_18242-2008,raw/standards/pdf/GB_18242-2008.pdf,raw/standards/docx/GB_18242-2008.docx,true,true,candidate,unmapped
GB_18243-2008,GB_18243-2008,raw/standards/pdf/GB_18243-2008.pdf,raw/standards/docx/GB_18243-2008.docx,true,true,candidate,unmapped
GB_18445-2012,GB_18445-2012,raw/standards/pdf/GB_18445-2012.pdf,raw/standards/docx/GB_18445-2012.docx,true,true,candidate,unmapped
GB_18967-2009,GB_18967-2009,raw/standards/pdf/GB_18967-2009.pdf,raw/standards/docx/GB_18967-2009.docx,true,true,candidate,unmapped
GB_25779-2010,GB_25779-2010,raw/standards/pdf/GB_25779-2010.pdf,raw/standards/docx/GB_25779-2010.docx,true,true,candidate,unmapped
GB_26541-2011,GB_26541-2011,raw/standards/pdf/GB_26541-2011.pdf,raw/standards/docx/GB_26541-2011.docx,true,true,candidate,unmapped
GB_28635-2012,GB_28635-2012,raw/standards/pdf/GB_28635-2012.pdf,raw/standards/docx/GB_28635-2012.docx,true,true,candidate,unmapped
GB_8076-2008,GB_8076-2008,raw/standards/pdf/GB_8076-2008.pdf,raw/standards/docx/GB_8076-2008.docx,true,true,candidate,unmapped
JCT_239-2014,JCT_239-2014,raw/standards/pdf/JCT_239-2014.pdf,raw/standards/docx/JCT_239-2014.docx,true,true,candidate,unmapped
JCT_408-2005,JCT_408-2005,raw/standards/pdf/JCT_408-2005.pdf,raw/standards/docx/JCT_408-2005.docx,true,true,candidate,unmapped
JCT_864-2023,JCT_864-2023,raw/standards/pdf/JCT_864-2023.pdf,raw/standards/docx/JCT_864-2023.docx,true,true,candidate,unmapped
JCT_984-2011,JCT_984-2011,raw/standards/pdf/JCT_984-2011.pdf,raw/standards/docx/JCT_984-2011.docx,true,true,candidate,unmapped
